"player","mapsPlayed","impact","rating"
"neon",1,-0.000246167533679954,NA
"ed101",3,-0.000250140874998485,NA
"AKim",0,-0.000253220244064049,NA
"qbaby",1,-0.000258913103791678,NA
"YDNA",1,-0.000259649348134662,NA
"xfl0ud",11,-0.000261233573181179,NA
"Maccen",1,-0.000263391374954492,NA
"qz",2,-0.00026703603692369,NA
"c0llins",2,-0.000267781021457314,NA
"troller",1,-0.000268149859031911,NA
"toby1",1,-0.000268333372298539,NA
"Krav",2,-0.000269277427584378,NA
"n2g",0,-0.000271125856039432,NA
"fnyekes",2,-0.000271975298559997,NA
"barney",2,-0.000272156719372001,NA
"bondik",575,-0.000272663044239782,1.02
"huckLeberry",2,-0.000273393280938961,NA
"Rub3nix",1,-0.000273595064195332,NA
"snedker",8,-0.000274191801108616,NA
"Remoy",4,-0.000275870876802257,NA
"mAThx",1,-0.00027738066919636,NA
"TONI",2,-0.000278796875340463,NA
"neph",1,-0.000283180129602522,NA
"pz",1,-0.000283202275054061,NA
"Ange",1,-0.000283209426339356,NA
"jtr",1,-0.000285329218159761,NA
"kuben",3,-0.000287764128498806,0.39
"OKAYYY",1,-0.000290019691313646,NA
"Noisia",1,-0.000293839958258374,NA
"TheOne",2,-0.000294243769948863,NA
"space",1,-0.000294454418849418,NA
"st0Le",1,-0.000295410738457147,NA
"sarenii",2,-0.000298730388627232,NA
"queztone",67,-0.000299302773200796,1.03
"snapy",2,-0.000302056696670577,NA
"So5",1,-0.000307585307755073,NA
"frzmonster",1,-0.00030879171030141,NA
"Tuurtle",6,-0.000313567465254292,NA
"FliP1",3,-0.000314815105502952,NA
"amosE",1,-0.000314869353286055,NA
"SenpaiMadara",1,-0.000317993694325321,NA
"Nico",1,-0.000319966760004301,NA
"primortjE",1,-0.000320075460049146,NA
"Nerdy",2,-0.000320112135377881,NA
"xerus",1,-0.000323210565332872,NA
"Kind0",2,-0.000329103742719461,NA
"rilax",3,-0.000329785473625752,NA
"roque",1,-0.000331294883574735,NA
"Sheva",1,-0.000334497673897346,NA
"Lucaozy",1,-0.000336766997472079,NA
"CRMJ",1,-0.00033744712805558,NA
"jhd",1,-0.000340841296466421,NA
"Jujje",1,-0.000341071157461294,NA
"LONSDALE",1,-0.000341626828903753,NA
"m4v3r1ck",2,-0.000344547367631241,NA
"Swagger",1,-0.000345623220042099,NA
"shellzi",2,-0.000346027721151304,NA
"v1N",3,-0.000347256845164382,NA
"diyy",1,-0.000348331814337799,NA
"dmize",2,-0.000350084731516871,NA
"nafu",2,-0.0003501717388291,NA
"Lightstep",2,-0.000356294338102432,NA
"s1ren",2,-0.000357563100633278,NA
"cannonchow",2,-0.000357568657413037,NA
"gi",2,-0.000358057084227085,NA
"FigaaOP",2,-0.000358274075246823,NA
"SOLA",2,-0.000360252741476551,NA
"Kheadi",2,-0.000360407240338981,NA
"pt",2,-0.000360586705052683,NA
"BASiC",1,-0.000363932189579117,NA
"riksen",2,-0.000364143753077473,NA
"JonahP",3,-0.000366002536908949,NA
"CaNNiE",3,-0.000369218909588933,NA
"ZEN",2,-0.000372046538852536,NA
"Retrac",2,-0.000375681488615111,NA
"JD",1,-0.000377947403056525,NA
"MyeHvz",2,-0.000380134476902769,NA
"urge",2,-0.000380248231397212,NA
"AsLanMashadoW",1,-0.000383535004184988,NA
"shonk",3,-0.00038596750882648,NA
"HLEB",1,-0.000388286610978316,NA
"Grashog",1,-0.000389077719114913,NA
"Miki",1,-0.000391627801328639,NA
"chelleos",1,-0.000392699746112384,NA
