"player","mapsPlayed","impact","rating"
"rtA",3,-0.000304194998231905,NA
"kpiz",1,-0.000304630502288103,NA
"Lacore",1,-0.000308171051801768,NA
"zevy",1,-0.000308196286085435,NA
"m0NESY",2,-0.000309130959158611,NA
"lurzz",1,-0.000309230594600526,NA
"thamlike",2,-0.000309494821366501,NA
"deoxiDE",2,-0.000310459845928906,NA
"pan1K",2,-0.000310920333465608,NA
"xpy",1,-0.000311171823133163,NA
"LEo",3,-0.00031207941033544,NA
"kurtaliz",2,-0.000312667518440791,NA
"aMi",1,-0.000313576341656138,0.58
"BLUEE",2,-0.000314673397923715,NA
"xfl0ud",11,-0.000315158308329783,NA
"Darber",1,-0.000317419136604259,NA
"pallib0ndi",1,-0.000319663851234334,NA
"jok",1,-0.000321222631992386,NA
"urge",2,-0.000323777339478113,NA
"T4RG3T",2,-0.00032553933936696,NA
"SandmaN",3,-0.000327042608484689,NA
"AsLanMashadoW",1,-0.000327609463524634,NA
"CaNNiE",3,-0.000328690089313768,NA
"guGi",1,-0.000328978046073964,NA
"stunna",1,-0.000329488620410491,NA
"Maziaz",5,-0.000329668274829209,NA
"drg",1,-0.000332393569257226,NA
"INCRED",1,-0.000335602855028143,NA
"pnq",2,-0.000335874155700862,NA
"Tuurtle",6,-0.00033598027555696,NA
"kicker",1,-0.000336563024134217,NA
"ek1ps",2,-0.000337988265188227,NA
"carnees",3,-0.000339313143121849,NA
"RIjK0",3,-0.000339444917284824,NA
"jOELZ",5,-0.00033958675601562,NA
"Dark",2,-0.000339779332266641,NA
"KD69z",2,-0.000342684599693771,NA
"Lumji",2,-0.000343338479385153,NA
"fletch",1,-0.000343673346213031,NA
"slaYn",2,-0.000344359776315376,NA
"raw",2,-0.000344395777137336,NA
"jAMMiN",2,-0.000347004347159015,NA
"JohnOlsen",2,-0.00034798683552328,NA
"fostar",7,-0.0003481118106829,NA
"HenryG",1,-0.000350232098991359,NA
"alfonzz",2,-0.000350606545710985,NA
